Clicks,Impressions,CreationDate,EndDate,PeopleWhoMatch,AdSpend,AdSpendCurrency
18,327,07/15/15 08:23:22 AM PDT,07/16/15 08:23:21 AM PDT,Black Matters,15772,RUB
45,672,07/15/15 08:22:39 AM PDT,07/16/15 08:22:39 AM PDT,Black Matters,26275,RUB
113,1080,07/15/15 03:35:13 AM PDT,07/17/15 03:35:13 AM PDT,Black Matters,33157,RUB
181,1662,07/15/15 03:34:05 AM PDT,07/16/15 03:34:04 AM PDT,Black Matters,42429,RUB
173,1514,07/14/15 06:13:13 AM PDT,07/16/15 06:13:12 AM PDT,Black Matters,26917,RUB
205,1237,07/14/15 06:12:50 AM PDT,07/16/15 06:12:50 AM PDT,Black Matters,25208,RUB
2,15,07/17/15 06:33:37 AM PDT,07/19/15 06:33:37 AM PDT,Black Matters,492,RUB
10,28,07/17/15 06:33:04 AM PDT,07/19/15 06:33:04 AM PDT,Black Matters,885,RUB
3,18,07/17/15 06:32:46 AM PDT,07/19/15 06:32:45 AM PDT,Black Matters,445,RUB
754,5959,07/17/15 12:52:41 AM PDT,07/19/15 12:52:40 AM PDT,Black Matters,500,RUB
184,1704,07/21/15 07:32:31 AM PDT,07/23/15 07:32:30 AM PDT,Black Matters,13063,RUB
157,1536,07/21/15 06:55:01 AM PDT,07/23/15 06:55:01 AM PDT,Black Matters,12556,RUB
125,869,07/21/15 06:54:35 AM PDT,07/23/15 06:54:33 AM PDT,Black Matters,21075,RUB
109,1426,,,Black Matters,36487,RUB
161,1244,07/21/15 06:53:25 AM PDT,07/22/15 06:53:24 AM PDT,Black Matters,27798,RUB
0,0,07/21/15 07:32:07 AM PDT,07/23/15 07:32:07 AM PDT,Black Matters,,
90,1331,07/16/15 02:22:53 AM PDT,07/19/15 02:22:53 AM PDT,Black Matters,25353,RUB
42,504,07/10/15 05:42:38 AM PDT,07/13/15 05:42:37 AM PDT,Black Matters,18885,RUB
50,506,07/10/15 05:43:10 AM PDT,07/12/15 05:43:09 AM PDT,Black Matters,1162,RUB
47,402,07/10/15 05:43:31 AM PDT,07/12/15 05:43:30 AM PDT,Black Matters,11717,RUB
46,327,07/10/15 05:43:55 AM PDT,07/12/15 05:43:54 AM PDT,Black Matters,9036,RUB
24,281,07/10/15 05:44:38 AM PDT,07/12/15 05:44:38 AM PDT,Black Matters,14663,RUB
47,345,07/10/15 05:44:21 AM PDT,07/13/15 05:44:21 AM PDT,Black Matters,6776,RUB
139,1078,07/10/15 05:45:02 AM PDT,07/12/15 05:45:01 AM PDT,Black Matters,18082,RUB
0,0,07/06/15 07:51:06 AM PDT,07/07/15 07:51:05 AM PDT,Black Matters,,
4,67,07/06/15 07:51:49 AM PDT,07/08/15 06:08:00 PM PDT,Black Matters,1814,RUB
0,0,07/06/15 07:52:07 AM PDT,07/07/15 09:07:00 AM PDT,Black Matters,,
55,589,07/07/15 02:52:31 AM PDT,07/08/15 02:52:30 AM PDT,Black Matters,200,RUB
0,0,07/08/15 07:23:29 AM PDT,07/10/15 05:23:00 PM PDT,Black Matters,,
0,0,07/09/15 06:55:38 AM PDT,07/10/15 06:55:37 AM PDT,Black Matters,,
0,0,07/08/15 07:24:28 AM PDT,07/09/15 07:24:28 AM PDT,Black Matters,,
0,0,07/09/15 06:55:52 AM PDT,07/10/15 06:55:51 AM PDT,Black Matters,,
0,0,07/09/15 07:20:18 AM PDT,07/10/15 07:20:17 AM PDT,Black Matters,,
0,0,07/09/15 07:21:05 AM PDT,07/10/15 07:21:05 AM PDT,Black Matters,,
0,0,07/08/15 02:55:42 AM PDT,07/09/15 02:55:41 AM PDT,Black Matters,,
100,603,07/22/15 07:54:48 AM PDT,07/24/15 07:54:47 AM PDT,Being Patriotic,16449,RUB
22,246,07/22/15 07:55:10 AM PDT,07/24/15 07:55:09 AM PDT,Being Patriotic,13187,RUB
105,1036,07/16/15 07:08:59 AM PDT,07/17/15 07:08:58 AM PDT,Being Patriotic,25866,RUB
124,1383,07/17/15 06:42:47 AM PDT,07/19/15 06:42:46 AM PDT,Being Patriotic,290,RUB
9,61,07/16/15 12:21:41 AM PDT,07/17/15 12:21:41 AM PDT,Being Patriotic,1499,RUB
285,1853,07/27/15 08:16:18 AM PDT,07/29/15 08:16:17 AM PDT,Being Patriotic,32781,RUB
105,745,07/27/15 08:16:39 AM PDT,07/29/15 08-16-39 AM PDT,Being Patriotic,23678,RUB
235,1620,07/17/15 06:42:16 AM PDT,07/19/15 06:42:16 AM PDT,Being Patriotic,290,RUB
5,70,07/16/15 01:40:45 AM PDT,07/17/15 01:40:45 AM PDT,Being Patriotic,2794,RUB
172,1423,07/17/15 07:27:18 AM PDT,07/19/15 07:27:17 AM PDT,Being Patriotic,300,RUB
21,295,07/16/15 07:09:15 AM PDT,07/17/15 07:09:14 AM PDT,Being Patriotic,13382,RUB
2,12,07/22/15 05:14:56 AM PDT,07/24/15 05:14:56 AM PDT,Being Patriotic,1398,RUB
8,22,07/21/15 07:21:41 AM PDT,07/23/15 07:21:40 AM PDT,Being Patriotic,676,RUB
339,4067,07/17/15 06:34:53 AM PDT,07/19/15 06:34:53 AM PDT,LGBT United,500,RUB
469,3576,07/14/15 07:02:42 AM PDT,07/16/15 07:02:00 AM PDT,LGBT United,93196,RUB
76,890,07/17/15 06:34:09 AM PDT,07/19/15 06:34:09 AM PDT,LGBT United,34999,RUB
209,1617,07/17/15 06:34:31 AM PDT,07/19/15 06:34:31 AM PDT,LGBT United,24998,RUB
46,446,07/14/15 07:03:45 AM PDT,07/16/15 07:03:44 AM PDT,LGBT United,16616,RUB
30,277,07/14/15 07:03:04 AM PDT,07/16/15 07:03:04 AM PDT,LGBT United,12724,RUB
65,597,07/15/15 08:16:13 AM PDT,07/16/15 08:16:13 AM PDT,LGBT United,17586,RUB
72,585,07/22/15 07:45:34 AM PDT,07/24/15 07:45:33 AM PDT,LGBT United,14727,RUB
39,379,07/22/15 07:45:15 AM PDT,07/24/15 07:45:15 AM PDT,LGBT United,9302,RUB
1,12,07/22/15 05:10:05 AM PDT,07/24/15 05:10:04 AM PDT,LGBT United,476,RUB
196,1675,07/16/15 07:29:56 AM PDT,07/17/15 07:29:55 AM PDT,LGBT United,51316,RUB
194,1469,07/15/15 08:27:06 AM PDT,07/16/15 08:27:05 AM PDT,LGBT United,28734,RUB
266,1563,07/14/15 07:03:24 AM PDT,07/16/15 07:03:24 AM PDT,LGBT United,19184,RUB
443,1927,07/10/15 05:34:53 AM PDT,07/11/15 05:34:52 AM PDT,LGBT United,400,RUB
184,1359,07/10/15 07:26:53 AM PDT,07/13/15 07:26:52 AM PDT,LGBT United,38134,RUB
0,0,07/08/15 07:26:44 AM PDT,07/09/15 07:26:43 AM PDT,LGBT United,,
310,2288,07/17/15 06:41:56 AM PDT,07/19/15 06:41:55 AM PDT,Being Patriotic,600,RUB
92,472,08/04/15 05:37:48 AM PDT,08/06/15 05:37:47 AM PDT,Being Patriotic,1294,RUB
21,120,08/05/15 12:06:30 AM PDT,08/06/15 12:06:30 AM PDT,Being Patriotic,4318,RUB
487,2772,08/05/15 07:23:53 AM PDT,08/06/15 07:23:52 AM PDT,Being Patriotic,64398,RUB
8,71,08/13/15 02:19:00 AM PDT,08/15/15 02:19:00 AM PDT,Being Patriotic,4079,RUB
630,4930,08/18/15 08:17:48 AM PDT,08/20/15 08:17:00 AM PDT,LGBT United,500,RUB
885,6695,08/11/15 08:31:18 AM PDT,08/13/15 08:31:00 AM PDT,LGBT United,68025,RUB
104,661,08/24/15 08:28:43 AM PDT,08/25/15 08:28:42 AM PDT,LGBT United,7935,RUB
2341,22805,08/04/15 06:19:55 AM PDT,08/08/15 01:19:00 PM PDT,LGBT United,1700,RUB
7,20,08/24/15 08:28:21 AM PDT,08/25/15 08:28:21 AM PDT,LGBT United,791,RUB
18,117,08/04/15 05:32:25 AM PDT,08/05/15 05:32:24 AM PDT,Black Matters,3492,RUB
1,14,08/04/15 08:31:29 AM PDT,08/05/15 08:31:28 AM PDT,Black Matters,344,RUB
1347,12708,08/06/15 07:38:42 AM PDT,08/08/15 11:38:00 PM PDT,Black Matters,,RUB
120,1294,08/05/15 07:05:06 AM PDT,08/06/15 07:05:06 AM PDT,Black Matters,27727,RUB
242,3595,08/05/15 07:04:05 AM PDT,08/06/15 07:31:10 AM PDT,Black Matters,,RUB
92,902,08/05/15 07:03:32 AM PDT,08/06/15 07:03:32 AM PDT,Black Matters,28512,RUB
70,847,08/05/15 07:03:16 AM PDT,08/06/15 07:03:15 AM PDT,Black Matters,17764,RUB
0,0,08/05/15 12:11:58 AM PDT,08/06/15 12:11:58 AM PDT,Black Matters,,
35,221,08/04/15 08:31:58 AM PDT,08/05/15 08:31:58 AM PDT,Black Matters,6133,RUB
9,105,08/04/15 08:31:45 AM PDT,08/05/15 08:31:44 AM PDT,Black Matters,3188,RUB
63,351,08/04/15 08:30:58 AM PDT,08/05/15 08:30:58 AM PDT,Black Matters,8507,RUB
49,402,08/04/15 05:31:20 AM PDT,08/05/15 05:31:20 AM PDT,Black Matters,6587,RUB
0,0,08/06/15 07:36:02 AM PDT,08/07/15 07:36:01 AM PDT,Black Matters,,
86,290,08/10/15 07:36:40 AM PDT,08/11/15 07:36:39 AM PDT,Black Matters,4454,RUB
1102,8752,08/12/15 12:53:51 AM PDT,08/14/15 12:53:50 AM PDT,Black Matters,99999,RUB
0,0,08/13/15 07:18:16 AM PDT,08/15/15 07:18:16 AM PDT,Black Matters,,
34,294,08/18/15 08:23:09 AM PDT,08/19/15 08:23:09 AM PDT,Black Matters,8295,RUB
63,594,08/18/15 08:22:50 AM PDT,08/19/15 08:22:49 AM PDT,Black Matters,16023,RUB
42,315,08/18/15 08:22:26 AM PDT,08/19/15 08:22:25 AM PDT,Black Matters,11955,RUB
